0.44,0.36,0.64,0.45,0.5,0,0.53,0.11,CYT,
0.37,0.3,0.51,0.15,0.5,0,0.58,0.26,NUC,
0.35,0.42,0.56,0.28,0.5,0,0.47,0.22,NUC,
0.97,0.71,0.29,0.42,0.5,0,0.35,0.22,ME2,
0.69,0.62,0.49,0,1,0,0.47,0.22,NUC,
0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,CYT,
0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,CYT,
0.44,0.68,0.45,0.51,0.5,0,0.52,0.41,MIT,
0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,CYT,
0.5,0.52,0.51,0.22,0.5,0,0.46,0.37,CYT,
0.45,0.48,0.56,0.56,0.5,0,0.47,0.22,NUC,
0.69,0.7,0.5,0.3,0.5,0,0.54,0.22,VAC,
0.42,0.25,0.6,0.14,0.5,0,0.45,0.22,CYT,
0.8,0.73,0.47,0.19,0.5,0,0.49,0.22,ME1,
0.5,0.43,0.56,0.17,0.5,0,0.35,0.22,NUC,
0.64,0.52,0.5,0.26,0.5,0,0.51,0.31,NUC,
0.26,0.36,0.47,0.34,0.5,0,0.53,0.72,NUC,
0.47,0.47,0.54,0.19,0.5,0,0.51,0.33,NUC,
0.77,0.57,0.45,0.17,0.5,0,0.53,0.22,CYT,
0.46,0.39,0.54,0.22,0.5,0,0.48,0.25,CYT,
0.37,0.37,0.51,0.38,0.5,0,0.44,0.22,CYT,
0.47,0.45,0.51,0.33,0.5,0,0.46,0.26,NUC,
0.55,0.47,0.53,0.2,0.5,0,0.4,0.22,NUC,
0.34,0.34,0.61,0.18,0.5,0,0.52,0.32,NUC,
0.42,0.21,0.59,0.3,0.5,0,0.47,0.27,NUC,
0.63,0.47,0.56,0.12,0.5,0,0.5,0.22,MIT,
0.35,0.45,0.43,0.11,0.5,0,0.56,0.22,ME3,
0.23,0.3,0.58,0.22,0.5,0,0.48,0.27,NUC,
0.43,0.4,0.5,0.18,0.5,0,0.5,0.28,CYT,
0.3,0.3,0.46,0.32,0.5,0,0.45,0.22,NUC,
0.22,0.53,0.36,0.22,0.5,0,0.54,0.31,ME3,
0.3,0.68,0.41,0.17,0.5,0,0.51,0.22,ME3,
0.74,0.53,0.5,0.08,0.5,0,0.55,0.31,CYT,
0.39,0.44,0.35,0.16,0.5,0,0.55,0.22,ME3,
0.57,0.61,0.55,0.67,0.5,0,0.48,0.22,MIT,
0.51,0.55,0.35,0.16,0.5,0,0.51,0.47,ME3,
0.51,0.43,0.47,0.19,0.5,0,0.52,0.37,CYT,
0.58,0.52,0.61,0.33,0.5,0,0.38,0.11,MIT,
0.4,0.65,0.38,0.17,0.5,0,0.57,0.22,ME3,
0.54,0.55,0.56,0.14,0.5,0,0.5,0.25,CYT,
0.45,0.76,0.51,0.25,0.5,0,0.59,0.22,CYT,
0.59,0.45,0.58,0.21,0.5,0,0.49,0.22,MIT,
0.55,0.5,0.66,0.36,0.5,0,0.49,0.22,MIT,
