0.0050,0.0060,0.0080,0.055,0.088,0.128,0.167,0.137,0.292,0.347,0.326,0.326,0.23,0.125,0.21,0.24,0.193,0.167,0.123,0.09,0.156,0.329,0.527,0.674,0.791,0.894,0.94,0.949,0.904,0.915,0.883,0.809,0.718,0.672,0.645,0.688,0.624,0.494,0.414,0.424,0.455,0.439,0.432,0.492,0.471,0.32,0.224,0.181,0.099,0.025,0.013,0.01,0.013,0.0070,0.0040,0.0070,0.0060,0.0040,0.0,0.0030,M,
0.072,0.085,0.059,0.022,0.086,0.18,0.192,0.19,0.296,0.419,0.487,0.525,0.596,0.686,0.857,0.972,0.869,0.871,0.895,0.992,0.898,0.816,0.837,0.754,0.589,0.549,0.564,0.541,0.478,0.444,0.37,0.257,0.148,0.174,0.123,0.159,0.18,0.144,0.167,0.263,0.223,0.124,0.087,0.209,0.15,0.068,0.09,0.093,0.066,0.0090,0.022,0.015,0.012,0.01,0.02,0.0040,0.0070,0.01,0.0080,0.012,M,
0.028,0.06,0.066,0.023,0.084,0.167,0.115,0.11,0.137,0.177,0.2,0.287,0.328,0.377,0.417,0.504,0.618,0.802,0.933,0.94,0.928,0.945,0.833,0.777,0.701,0.615,0.581,0.445,0.371,0.289,0.218,0.171,0.358,0.395,0.287,0.24,0.362,0.331,0.376,0.477,0.406,0.366,0.232,0.145,0.102,0.111,0.066,0.027,0.024,0.018,0.011,0.015,0.017,0.016,0.0050,0.0070,0.0050,0.0030,0.0040,0.0080,M,
0.039,0.042,0.045,0.055,0.06,0.142,0.096,0.08,0.162,0.256,0.308,0.34,0.34,0.395,0.335,0.225,0.209,0.225,0.338,0.458,0.647,0.671,0.701,0.762,0.774,0.677,0.737,0.783,0.962,1.0,0.809,0.556,0.541,0.499,0.311,0.29,0.224,0.096,0.229,0.323,0.345,0.388,0.324,0.093,0.117,0.057,0.077,0.097,0.059,0.0050,0.012,0.015,0.0040,0.011,0.0030,0.0060,0.01,0.0070,0.0050,0.0090,M,
0.115,0.116,0.087,0.036,0.023,0.127,0.242,0.266,0.435,0.538,0.382,0.099,0.062,0.18,0.391,0.36,0.304,0.243,0.406,0.84,0.978,0.468,0.061,0.214,0.135,0.285,0.162,0.265,0.456,0.65,0.285,0.33,0.537,0.663,0.863,0.855,0.785,0.902,0.883,0.609,0.281,0.091,0.118,0.269,0.521,0.423,0.234,0.193,0.109,0.051,0.023,0.01,0.0060,0.0080,0.017,0.011,0.019,0.014,0.0070,0.0090,M,
0.026,0.043,0.055,0.068,0.078,0.125,0.13,0.173,0.279,0.295,0.251,0.26,0.225,0.212,0.127,0.119,0.179,0.218,0.165,0.074,0.062,0.238,0.482,0.637,0.753,0.896,0.994,0.996,0.933,0.934,0.885,0.769,0.686,0.639,0.638,0.663,0.598,0.456,0.313,0.416,0.432,0.403,0.42,0.456,0.396,0.297,0.21,0.156,0.088,0.026,0.012,0.0090,0.0060,0.0020,0.0040,0.0080,0.0030,0.0060,0.0050,0.0050,M,
0.013,0.0070,0.031,0.031,0.0080,0.077,0.077,0.064,0.073,0.09,0.075,0.084,0.123,0.162,0.232,0.293,0.353,0.366,0.322,0.309,0.408,0.428,0.466,0.596,0.695,0.839,0.888,0.64,0.331,0.342,0.492,0.459,0.303,0.437,0.518,0.512,0.475,0.49,0.46,0.446,0.42,0.287,0.23,0.095,0.01,0.053,0.038,0.011,0.011,0.0080,0.011,0.0060,0.0030,0.0040,0.0080,0.0040,0.0050,0.0010,0.0050,0.0020,R,
0.137,0.123,0.138,0.148,0.178,0.143,0.177,0.216,0.163,0.207,0.426,0.548,0.713,0.7,0.678,0.794,0.938,0.892,0.915,0.783,0.796,0.798,0.772,0.662,0.486,0.557,0.47,0.564,0.452,0.337,0.268,0.234,0.305,0.302,0.275,0.104,0.176,0.316,0.36,0.274,0.13,0.246,0.34,0.175,0.068,0.106,0.064,0.053,0.053,0.027,0.017,0.012,0.013,0.034,0.0060,0.0070,0.0020,0.0080,0.015,0.0050,M,
0.026,0.0070,0.034,0.079,0.104,0.078,0.142,0.118,0.045,0.094,0.113,0.084,0.072,0.197,0.263,0.419,0.505,0.671,0.792,0.838,0.876,0.942,1.0,0.993,0.958,0.865,0.722,0.58,0.496,0.489,0.408,0.244,0.177,0.247,0.352,0.376,0.291,0.231,0.317,0.355,0.374,0.444,0.326,0.196,0.086,0.169,0.199,0.122,0.063,0.032,0.025,0.021,0.026,0.018,0.0040,0.0070,0.012,0.0080,0.0080,0.0070,M,
0.0070,0.0030,0.0090,0.0060,0.042,0.086,0.118,0.1,0.198,0.232,0.247,0.288,0.213,0.071,0.119,0.281,0.422,0.528,0.586,0.615,0.675,0.787,0.897,0.983,1.0,0.846,0.606,0.304,0.014,0.253,0.434,0.492,0.541,0.596,0.525,0.378,0.237,0.172,0.188,0.325,0.258,0.242,0.271,0.232,0.172,0.146,0.118,0.087,0.039,0.013,0.0090,0.0080,0.0070,0.0080,0.0030,0.0060,0.0040,0.0040,0.0010,0.0040,M,
