1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,2,
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2,
1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,7,
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0,1,
1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0,2,
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,1,
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,7,
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,5,
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,7,
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,1,
1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,3,
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,6,
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,1,
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,7,
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,1,
1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0,2,
1.51829,14.46,2.24,1.62,72.38,0,9.26,0,0,6,
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,1,
1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0,0,1,
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,2,
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,1,

