1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,2,
1.51115,17.38,0,0.34,75.41,0,6.65,0,0,6,
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,1,
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,1,
1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32,2,
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,1,
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,7,
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,2,
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3,
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,5,
1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,2,
1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11,1,
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,1,
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,1,
1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,7,
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1,
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,2,
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2,
1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,1,
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,2,
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1,

