0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,scorpion,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,chub,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,pony,
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,seawasp,
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,hawk,
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,honeybee,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,lark,
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,kiwi,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,bass,
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,housefly,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,leopard,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,pussycat,
1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,gorilla,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,cheetah,
1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,cavy,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,puma,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,flamingo,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,parakeet,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,antelope,
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,haddock,
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,dolphin,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,elephant,
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,crayfish,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,catfish,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,giraffe,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,hare,
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,aardvark,
1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,girl,
1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,bear,
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,sealion,
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,pitviper,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,oryx,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,raccoon,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lynx,
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,lobster,
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,mink,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,tuna,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,pike,
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,starfish,
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,sole,
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,toad,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,reindeer,
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,newt,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,dove,
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,slug,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,wren,
0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,frog,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,herring,
0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,crab,
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,slowworm,
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,rhea,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,opossum,
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,platypus,
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,gull,
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,vampire,
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,crow,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,mole,
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,wallaby,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,sparrow,
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,fruitbat,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,hamster,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,buffalo,
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,squirrel,
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,ladybird,
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,seahorse,
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,stingray,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,polecat,
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,octopus,
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,worm,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,piranha,
0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,gnat,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,deer,
0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,carp,
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,wasp,
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,dogfish,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,goat,
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,flea,
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,seal,
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,clam,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,vole,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,wolf,
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,tuatara,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,boar,
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,ostrich,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,lion,
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,seasnake,
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,termite,
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,pheasant,
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,penguin,
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,mongoose,
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,calf,

