1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,7,
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,2,
1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,7,
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,7,
1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0,2,
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,2,
1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,7,
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,1,
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,7,
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2,
1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,2,
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1,
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,2,
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09,3,
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,1,
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,3,
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0,0,1,
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,2,
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0,1,
1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,1,
1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,2,
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1,

