1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,7,
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,2,
1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,2,
1.51905,14,2.39,1.56,72.37,0,9.57,0,0,6,
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,7,
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,7,
1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11,1,
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,2,
1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,2,
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,1,
1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,2,
1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0,1,
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,2,
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,7,
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,1,
1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,7,
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,1,
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,1,
1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,2,
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0,1,
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0,0,2,

